Shot,FrameId
forehand,639
backhand,788
backhand,803
backhand,804
backhand,805
backhand,806
backhand,807
backhand,808
backhand,809
forehand,888
forehand,903
forehand,904
forehand,905
forehand,906
forehand,907
forehand,908
forehand,909
backhand,934
backhand,949
backhand,950
backhand,951
backhand,952
backhand,953
backhand,954
backhand,955
backhand,956
backhand,957
backhand,958
backhand,959
backhand,960
forehand,1028
forehand,1044
forehand,1045
forehand,1046
forehand,1047
forehand,1048
forehand,1049
forehand,1050
forehand,1051
forehand,1052
forehand,1053
forehand,1054
forehand,1055
forehand,1056
forehand,1057
backhand,1069
backhand,1084
backhand,1085
backhand,1086
backhand,1087
backhand,1088
backhand,1089
backhand,1090
backhand,1091
backhand,1092
backhand,1093
backhand,1095
backhand,1096
backhand,1097
backhand,1098
backhand,1099
backhand,1100
forehand,1114
forehand,1129
forehand,1130
forehand,1131
forehand,1132
forehand,1133
forehand,1134
forehand,1135
forehand,1136
forehand,1137
forehand,1138
forehand,1139
forehand,1140
backhand,1147
backhand,1162
backhand,1163
backhand,1164
backhand,1165
backhand,1166
backhand,1167
backhand,1168
backhand,1169
backhand,1170
backhand,1171
backhand,1172
backhand,1173
backhand,1174
backhand,1175
backhand,1176
backhand,1177
backhand,1178
backhand,1179
backhand,1180
forehand,1294
forehand,1309
forehand,1319
forehand,1334
forehand,1335
forehand,1336
forehand,1337
forehand,1338
forehand,1339
forehand,1340
forehand,1341
forehand,1342
forehand,1343
forehand,1350
backhand,1384
backhand,1389
serve,1397
serve,1412
serve,1413
serve,1414
serve,1415
serve,1416
serve,1417
serve,1418
serve,1419
serve,1420
serve,1421
serve,1426
serve,1436
serve,1441
serve,1446
serve,1451
